origin,destination,date_departure,week_day,distance,capacity,origin_population,T_origin,humidity_origin,wind_speed_origin,T_destination,humidity_destination,wind_speed_destination,demand
Aktobe,Kazakhstan,2020-06-14,Sunday,341,10.0,570475,19.081632653061224,49.81632653061224,6.510204081632653,19.704545454545453,43.52272727272727,7.272727272727272,11
Aktobe,Kazakhstan,2020-06-16,Tuesday,341,10.0,570475,20.25,38.375,1.7083333333333333,22.24390243902439,42.41463414634146,3.1219512195121952,10
Aktobe,Kazakhstan,2020-06-18,Thursday,341,12.0,570475,22.73469387755102,44.142857142857146,3.8979591836734695,24.69767441860465,53.395348837209305,3.72093023255814,11
Aktobe,Kazakhstan,2020-06-20,Saturday,341,10.0,570475,20.979166666666668,25.166666666666668,3.4791666666666665,26.51219512195122,25.414634146341463,3.4878048780487805,9
Aktobe,Kazakhstan,2020-06-22,Monday,341,12.0,570475,21.479166666666668,38.91666666666666,4.895833333333333,19.5,36.84090909090909,6.409090909090909,8
Aktobe,Kazakhstan,2020-06-24,Wednesday,341,12.0,570475,20.791666666666668,33.395833333333336,4.75,19.48837209302325,50.11627906976744,2.7906976744186047,6
Aktobe,Kazakhstan,2020-06-26,Friday,341,6.0,570475,14.958333333333334,47.85416666666666,5.854166666666667,17.136363636363637,41.65909090909091,6.386363636363637,6
Aktobe,Kazakhstan,2020-06-28,Sunday,341,12.0,570475,19.557692307692307,67.23076923076923,6.711538461538462,23.13953488372093,61.74418604651163,5.116279069767442,5
Aktobe,Kazakhstan,2020-06-30,Tuesday,341,10.0,570475,17.229166666666668,57.1875,3.9166666666666665,17.4390243902439,57.29268292682927,3.804878048780488,8
Aktobe,Kazakhstan,2020-07-02,Thursday,341,10.0,570475,18.83333333333333,43.0,3.5,22.761904761904763,44.333333333333336,3.5476190476190474,10
Aktobe,Kazakhstan,2020-07-04,Saturday,341,10.0,570475,24.97872340425532,42.93617021276596,3.723404255319149,28.97560975609756,36.78048780487805,2.6341463414634148,8
Aktobe,Kazakhstan,2020-07-06,Monday,341,10.0,570475,27.352941176470587,45.88235294117647,4.196078431372549,31.071428571428573,36.45238095238095,3.023809523809524,18
Aktobe,Kazakhstan,2020-07-08,Wednesday,341,12.0,570475,28.0,42.0,9.0,36.0,20.0,8.0,5
Aktobe,Kazakhstan,2020-07-10,Friday,341,12.0,570475,28.51063829787234,34.808510638297875,1.9787234042553192,32.41463414634146,21.17073170731708,3.926829268292683,7
Aktobe,Kazakhstan,2020-07-12,Sunday,341,10.0,570475,28.244444444444444,40.13333333333333,3.4375,32.166666666666664,35.25,5.0,20
Aktobe,Kazakhstan,2020-07-14,Tuesday,341,10.0,570475,,,,34.0,25.24390243902439,5.463414634146342,14
Aktobe,Kazakhstan,2020-07-16,Thursday,341,272.0,570475,33.0,19.25,3.75,27.681818181818183,40.45454545454545,4.681818181818182,3
Aktobe,Kazakhstan,2020-07-18,Saturday,341,10.0,570475,30.0,24.25,2.25,28.317073170731707,36.14634146341464,6.804878048780488,4
Aktobe,Kazakhstan,2020-07-20,Monday,341,6.0,570475,26.52173913043478,34.608695652173914,5.326086956521739,25.071428571428573,39.785714285714285,3.880952380952381,11
Aktobe,Kazakhstan,2020-07-22,Wednesday,341,10.0,570475,20.04,81.48,4.4,27.186046511627907,34.674418604651166,4.348837209302325,3
Aktobe,Kazakhstan,2020-07-24,Friday,341,272.0,570475,22.346938775510203,57.734693877551024,6.142857142857143,24.071428571428573,40.07142857142857,4.285714285714286,4
Aktobe,Kazakhstan,2020-07-26,Sunday,341,10.0,570475,21.617021276595743,49.95744680851064,3.787234042553192,22.48780487804878,35.292682926829265,4.073170731707317,10
Aktobe,Kazakhstan,2020-07-28,Tuesday,341,12.0,570475,21.065217391304348,50.10869565217392,3.978260869565217,23.02380952380953,39.333333333333336,3.261904761904762,11
Aktobe,Kazakhstan,2020-07-30,Thursday,341,12.0,570475,23.33333333333333,41.208333333333336,1.9583333333333333,26.58974358974359,27.07692307692308,3.2,7
Aktobe,Kazakhstan,2020-08-01,Saturday,341,6.0,570475,26.74468085106383,26.0,4.404255319148936,29.625,32.125,8.017857142857142,10
Aktobe,Kazakhstan,2020-08-04,Tuesday,341,272.0,570475,25.26530612244898,48.795918367346935,4.755102040816326,18.73913043478261,79.47826086956522,7.217391304347826,2
Aktobe,Kazakhstan,2020-08-06,Thursday,341,10.0,570475,26.12244897959184,42.38775510204081,6.122448979591836,28.341463414634145,42.65853658536585,5.512195121951219,2
Aktobe,Kazakhstan,2020-08-10,Monday,341,10.0,570475,14.0,87.55319148936171,7.48936170212766,21.5,40.68,8.84,5
Aktobe,Kazakhstan,2020-08-12,Wednesday,341,10.0,570475,17.456521739130434,63.56521739130435,3.217391304347826,20.13953488372093,42.395348837209305,2.5348837209302326,4
Aktobe,Kazakhstan,2020-08-14,Friday,341,10.0,570475,20.897959183673468,64.36734693877551,4.775510204081633,20.24390243902439,59.04878048780488,4.658536585365853,2
Aktobe,Kazakhstan,2020-08-24,Monday,341,10.0,570475,18.45833333333333,51.270833333333336,2.770833333333333,19.80952380952381,51.35714285714285,3.2142857142857144,4
Aktobe,Kazakhstan,2020-08-26,Wednesday,341,10.0,570475,22.58333333333333,42.583333333333336,3.0416666666666665,23.67441860465116,36.04651162790697,2.558139534883721,4
Aktobe,Kazakhstan,2020-12-04,Friday,341,12.0,570475,-17.304347826086957,76.71739130434783,1.7608695652173914,-20.02439024390244,81.8780487804878,2.926829268292683,8
Aktobe,Kazakhstan,2020-12-06,Sunday,341,12.0,570475,-11.24,77.46,2.7,-18.261904761904763,84.78571428571429,2.642857142857143,11
Aktobe,Kazakhstan,2020-12-08,Tuesday,341,12.0,570475,-14.08,81.44,1.58,-15.878048780487806,80.53658536585365,3.609756097560976,6
Aktobe,Kazakhstan,2020-12-10,Thursday,341,12.0,570475,-16.92,82.22,0.54,-16.5,80.5,3.571428571428572,4
Aktobe,Kazakhstan,2020-12-12,Saturday,341,272.0,570475,-12.604166666666666,83.41666666666667,1.6666666666666667,-16.963636363636365,85.41818181818182,1.9090909090909087,4
Aktobe,Kazakhstan,2020-12-14,Monday,341,10.0,570475,-19.73469387755102,80.06122448979592,0.8571428571428571,-17.73170731707317,83.8780487804878,3.1463414634146343,12
Aktobe,Kazakhstan,2020-12-16,Wednesday,341,10.0,570475,-11.770833333333334,69.125,3.125,-7.674418604651163,80.83720930232558,6.3023255813953485,32
Aktobe,Kazakhstan,2020-12-18,Friday,341,12.0,570475,-5.211538461538462,88.5,3.615384615384616,-5.407407407407407,94.8148148148148,2.2962962962962963,11
Aktobe,Kazakhstan,2020-12-20,Sunday,341,340.0,570475,-24.040816326530614,74.85714285714286,1.4285714285714286,-15.878048780487806,76.8048780487805,4.634146341463414,16
Aktobe,Kazakhstan,2020-12-22,Tuesday,341,10.0,570475,-28.1875,70.5,2.083333333333333,-23.52380952380953,74.71428571428571,1.5,11
Aktobe,Kazakhstan,2020-12-24,Thursday,341,6.0,570475,-10.23404255319149,77.97872340425532,3.808510638297872,-14.261904761904765,86.33333333333333,2.0,6
Aktobe,Kazakhstan,2020-12-26,Saturday,341,10.0,570475,-9.918367346938776,87.48979591836735,2.897959183673469,-13.375,89.23214285714286,5.0,7
Aktobe,Kazakhstan,2020-12-28,Monday,341,10.0,570475,-5.365384615384615,88.3076923076923,5.230769230769231,-10.822222222222225,91.15555555555557,1.3333333333333333,17
Aktobe,Kazakhstan,2020-12-30,Wednesday,341,10.0,570475,-19.26923076923077,80.92307692307692,1.2115384615384617,-9.541666666666666,87.8125,3.8958333333333335,20
Aktobe,Kazakhstan,2021-01-01,Friday,341,10.0,570475,-9.392156862745098,89.84313725490196,3.0,-11.093023255813954,90.23255813953487,3.697674418604651,14
Aktobe,Kazakhstan,2021-01-04,Monday,341,6.0,570475,-14.020833333333334,73.22916666666667,2.708333333333333,-7.022222222222222,90.35555555555555,4.2,44
Aktobe,Kazakhstan,2021-01-06,Wednesday,341,12.0,570475,-19.83333333333333,70.6875,2.145833333333333,-18.2093023255814,77.06976744186046,5.674418604651163,4
Aktobe,Kazakhstan,2021-01-08,Friday,341,10.0,570475,-12.319148936170214,69.0,5.595744680851064,-8.425531914893616,84.36170212765957,8.25531914893617,4
Aktobe,Kazakhstan,2021-01-10,Sunday,341,12.0,570475,-5.313725490196078,79.11764705882354,4.96078431372549,-0.1764705882352941,91.03921568627452,7.647058823529412,12
Aktobe,Kazakhstan,2021-01-12,Tuesday,341,10.0,570475,-14.306122448979592,78.6938775510204,3.346938775510204,-19.288888888888888,81.46666666666667,3.355555555555556,17
Aktobe,Kazakhstan,2021-01-16,Saturday,341,272.0,570475,-5.38,82.74,5.16,-5.984126984126984,90.61904761904762,9.253968253968257,5
Aktobe,Kazakhstan,2021-01-18,Monday,341,6.0,570475,-11.645833333333334,77.54166666666667,3.8541666666666665,-16.951219512195124,82.4390243902439,4.146341463414634,18
Aktobe,Kazakhstan,2021-01-20,Wednesday,341,10.0,570475,-15.583333333333334,79.14583333333333,3.7291666666666665,-18.352941176470587,83.15686274509804,2.5098039215686274,4
Aktobe,Kazakhstan,2021-01-22,Friday,341,12.0,570475,-18.06,76.74,3.14,-13.217391304347826,87.80434782608695,4.891304347826087,4
Aktobe,Kazakhstan,2021-01-24,Sunday,341,10.0,570475,-4.907407407407407,87.88888888888889,5.12962962962963,0.1875,91.375,4.854166666666667,12
Aktobe,Kazakhstan,2021-01-26,Tuesday,341,10.0,570475,-9.2,88.45,2.5,-6.837209302325581,88.30232558139535,7.325581395348837,10
Aktobe,Kazakhstan,2021-01-28,Thursday,341,12.0,570475,-11.479166666666666,81.85416666666667,3.083333333333333,-8.177777777777777,82.97777777777777,9.28888888888889,6
Aktobe,Kazakhstan,2021-01-30,Saturday,341,6.0,570475,-6.122448979591836,78.28571428571429,2.53061224489796,-4.016666666666667,95.8,3.333333333333333,7
Aktobe,Kazakhstan,2021-02-01,Monday,341,12.0,570475,-9.173076923076923,86.5,2.2884615384615383,-0.9482758620689656,97.70689655172414,3.327586206896552,11
Aktobe,Kazakhstan,2021-02-04,Thursday,341,12.0,570475,0.873015873015873,93.28571428571428,2.6507936507936507,0.7419354838709677,99.3225806451613,5.467741935483871,10
Aktobe,Kazakhstan,2021-02-06,Saturday,341,12.0,570475,-2.69811320754717,84.67924528301887,10.0,-6.574074074074074,90.1851851851852,8.648148148148149,13
Aktobe,Kazakhstan,2021-02-08,Monday,341,10.0,570475,-17.62264150943396,73.22641509433963,10.037735849056604,-17.142857142857142,74.9047619047619,6.904761904761905,23
